title,url,一氧化碳量,上市时间,中文品名,产品类型,包装形式,小盒条码,小盒零售价,批发价格,条盒条码,条盒零售价,烟支规格,烟碱量,焦油量,英文品名
双喜（春天幻影） Shuangxi Spring Phantom,http://www.etmoc.com/Firms/Product?Id=3597,6mg,2025 年,双喜（春天幻影）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028008426,35 元/盒,,,350 元/条,97mm 细支,0.4mg,6mg,Shuangxi Spring Phantom
长白山（新圣境） Changbaishan Sacred Landscape New,http://www.etmoc.com/Firms/Product?Id=3595,6mg,2025 年,长白山（新圣境）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028097789,,,,,88mm 中支,0.9mg,8mg,Changbaishan Sacred Landscape New
芙蓉王（绽放细支） Furongwang Blooming Slim,http://www.etmoc.com/Firms/Product?Id=3594,4mg,2025 年,芙蓉王（绽放细支）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028275323,45 元/盒,,6901028275330,450 元/条,97mm 细支,0.5mg,5mg,Furongwang Blooming Slim
牡丹（恒大硬中支） Peony Hengda Middle,http://www.etmoc.com/Firms/Product?Id=3596,7mg,2025 年,牡丹（恒大硬中支）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028212694,23 元/盒,,6901028212700,230 元/条,89mm 中支,0.8mg,8mg,Peony Hengda Middle
牡丹（蓝彩细支） Peony Blue Lottery Slim,http://www.etmoc.com/Firms/Product?Id=3593,5mg,2025 年,牡丹（蓝彩细支）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028212731,30 元/盒,,,300 元/条,97mm 细支,0.5mg,6mg,Peony Blue Lottery Slim
南京（大观园草本） Nanjing Daguanyuan Herbal,http://www.etmoc.com/Firms/Product?Id=3591,5mg,2025 年,南京（大观园草本）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028062831,40 元/盒,339元/条,6901028062862,400 元/条,97mm 细支,0.6mg,6mg,Nanjing Daguanyuan Herbal
七匹狼（古田新光芒） Septwolves Gutian New Radiance,http://www.etmoc.com/Firms/Product?Id=3592,9mg,2025 年,七匹狼（古田新光芒）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028209526,,,6901028209533,,84mm,0.8mg,8mg,Septwolves Gutian New Radiance
利群（阳光细支） Liqun Sunshine Slim,http://www.etmoc.com/Firms/Product?Id=3589,5mg,2025 年,利群（阳光细支）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028265256,36 元/盒,,6901028265263,360 元/条,97mm 细支,0.6mg,6mg,Liqun Sunshine Slim
双喜（春天白月光） Shuangxi White Moonlight of Spring,http://www.etmoc.com/Firms/Product?Id=3590,3mg,2025 年,双喜（春天白月光）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028247573,28 元/盒,,6901028247580,280 元/条,97mm 细支,0.3mg,4mg,Shuangxi White Moonlight of Spring
云烟（雪域中支） YunYan Snow World Middle,http://www.etmoc.com/Firms/Product?Id=3588,7mg,2025 年,云烟（雪域中支）,烤烟型,条盒硬盒 （每盒 20 支，每条 10 盒）,6901028318754,50 元/盒,,6901028318761,500 元/条,89mm 中支,0.7mg,8mg,YunYan Snow World Middle
